"","Cases","Pop","Age","City"
"1",11,3059,"40-54","Fredericia"
"2",11,800,"55-59","Fredericia"
"3",11,710,"60-64","Fredericia"
"4",10,581,"65-69","Fredericia"
"5",11,509,"70-74","Fredericia"
"6",10,605,">74","Fredericia"
"7",13,2879,"40-54","Horsens"
"8",6,1083,"55-59","Horsens"
"9",15,923,"60-64","Horsens"
"10",10,834,"65-69","Horsens"
"11",12,634,"70-74","Horsens"
"12",2,782,">74","Horsens"
"13",4,3142,"40-54","Kolding"
"14",8,1050,"55-59","Kolding"
"15",7,895,"60-64","Kolding"
"16",11,702,"65-69","Kolding"
"17",9,535,"70-74","Kolding"
"18",12,659,">74","Kolding"
"19",5,2520,"40-54","Vejle"
"20",7,878,"55-59","Vejle"
"21",10,839,"60-64","Vejle"
"22",14,631,"65-69","Vejle"
"23",8,539,"70-74","Vejle"
"24",7,619,">74","Vejle"
